name,mass,fall,year,reclat,reclong
Novo-Urei,1900,Fell,1886,54.81667,46
Indio Rico,15000,Found,1887,-38.33333,-60.88333
Pan de Azucar,19500,Found,1887,-26.5,-69.5
Phu Hong,500,Fell,1887,11.25,108.58333
Lalitpur,372,Fell,1887,24.45,78.56667
Kendall County,21000,Found,1887,29.4,-98.5
San Pedro Springs,72,Found,1887,29.5,-98.5
Pipe Creek,13600,Found,1887,29.68333,-98.91667
Carlton,81200,Found,1887,31.91667,-98.03333
Holland's Store,12200,Found,1887,34.36667,-85.43333
Crab Orchard,48500,Found,1887,35.83333,-84.91667
San Emigdio,36000,Found,1887,36,-119
Morristown,16300,Found,1887,36.2,-83.38333
Waldron Ridge,13600,Found,1887,36.63333,-83.83333
Indian Valley,14100,Found,1887,36.93333,-80.5
Doyleville,112,Found,1887,38.41667,-106.58333
Mount Joy,384000,Found,1887,39.78333,-77.21667
